skill	*Id	charclass	skilldesc	srvstfunc	srvdofunc	srvstopfunc	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	useServerMissilesOnRemoteClients	srvoverlay	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	aurastat1	aurastatcalc1	aurastat2	aurastatcalc2	aurastat3	aurastatcalc3	aurastat4	aurastatcalc4	aurastat5	aurastatcalc5	aurastat6	aurastatcalc6	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	passivestate	passiveitype	passivereqweaponcount	passivestat1	passivecalc1	passivestat2	passivecalc2	passivestat3	passivecalc3	passivestat4	passivecalc4	passivestat5	passivecalc5	passivestat6	passivecalc6	passivestat7	passivecalc7	passivestat8	passivecalc8	passivestat9	passivecalc9	passivestat10	passivecalc10	passivestat11	passivecalc11	passivestat12	passivecalc12	passivestat13	passivecalc13	passivestat14	passivecalc14	summon	pettype	petmax	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	stsuccessonly	stsound	stsoundclass	stsounddelay	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	castoverlay	cltoverlaya	cltoverlayb	cltstfunc	cltdofunc	cltstopfunc	cltprgfunc1	cltprgfunc2	cltprgfunc3	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	warp	immediate	enhanceable	attackrank	noammo	range	weapsel	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	itypeb2	itypeb3	etypeb1	etypeb2	anim	seqtrans	monanim	seqnum	seqinput	durability	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	AttackNoMana	TgtPlaceCheck	KeepCursorStateOnKill	ContinueCastUnselected	ClearSelectedOnHold	ItemEffect	ItemCltEffect	ItemTgtDo	ItemTarget	ItemUseRestrict	ItemCheckStart	ItemCltCheckStart	ItemCastSound	ItemCastOverlay	skpoints	reqlevel	maxlvl	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	restrict	State1	State2	State3	localdelay	globaldelay	leftskill	rightskill	repeat	alwayshit	usemanaondo	startmana	minmana	manashift	mana	lvlmana	interrupt	InTown	aura	periodic	perdelay	finishing	prgchargestocast	prgchargesconsumed	passive	progressive	scroll	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	*calc4 desc	calc5	*calc5 desc	calc6	*calc6 desc	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	Param9	*Param9 Description	Param10	*Param10 Description2	Param11	*Param11 Description	Param12	*Param12 Description	InGame	ToHit	LevToHit	ToHitCalc	ResultFlags	HitFlags	HitClass	Kick	HitShift	SrcDam	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	aitype	aibonus	cost mult	cost add	*eol
Shout	138	bar	shout		68													shout						shout	shout	(blvl<1)?(750+500*lvl):(3000+500*lvl)		skill_armor_percent	ln12+(clc5+clc6)*par7																																																																		barbarian_shout_1														25						shout												1	8		none												SC	SC	A1				1													1			36	10									1	20								1						1	1					1	8	10	0	1	1																		skill('Hatchet Flurry'.blvl)+skill('Phantom Hatchets'.blvl)+skill('Stampede'.blvl)+skill('Berserk Fury'.blvl)+skill('Axe Swarm'.blvl)+skill('Frenzy'.blvl)+skill('Whirlwind'.blvl)+skill('Stun'.blvl)		skill('Concentrate'.blvl)+skill('Bash'.blvl)+skill('Berserk'.blvl)		100	% AC bonus for friendlies	15	% AC bonus per level	625	duration	250	duration/level					5	ac synergy	125	duration synergy									1								8																																				768	10000	0
Stun	139	bar	stun	6	11													stun	stun	stun																																																																											barbarian_grunt_small_1														19						stun	stun	stun										1	9		h2h		mele										A1	A1	xx				1		1	1								1		1			1			4		1					1	20														1	1					1	6	4	1	1											1	# of missiles					((skill('Stun'.blvl)+skill('Increased Stamina'.blvl))>39)?1:2										20	Damage % base	5				5	stun synergy	15	to hit synergy	5	stun length synergy									1	15		lvl*15+skill('Concentrate'.blvl)*par7					8	160														stun														10	1	1	1	skill('Iron Skin'.blvl)*par8			256	2000	0
Hatchet Flurry	140	bar	hatchet flurry	8	12													hatchetflurry	hatchetflurry								par5																																																																								paladin_charge									13	20						hatchetflurry	hatchetflurry											1	0		rng		thro										A1	A1	A1				1													1													1	20														1	1					1	6	12	1												4+lvl/5+skill('Phantom Hatchets'.blvl)/10	#missiles	lvl*15+skill('Increased Stamina'.blvl)*par8	damage %	4+lvl/5+skill('Phantom Hatchets'.blvl)/10	min # missiles			((skill('Hatchet Flurry'.blvl)+skill('Throwing Mastery'.blvl))>39)?100:0												35	Radius	5	% frame rollback			15	damage synergy									1	15		(15+lvl*15)*(100+clc5)/100					8	32																																			256	2000	0
Increased Stamina	141	bar	increased stamina																																											increasedstamina			strength	ln34*(100+blvl*3)/100	item_crushingblow	(10+lvl/3)*(100+blvl*3)/100																																																																											1	0		none												SC	SC	xx				1													1													6	20														0	0					0	8	0	0	1								1																			10	strength bonus	2	strength per level							0	str synergy									1								8																																				512	4000	0
Find Item	142	bar	find item																																											finditem			item_magicbonus	ln12*(100+blvl*3)/100	item_goldbonus	ln12*(100+blvl*3)/100																																														barbarian_findheart_1											40																		1	0		none												SC	SC	xx				1				1		5							1													12	20														0	0					0	8	0	0	1								1															10	mf	3	mf/lvl																					1								8																																				512	4000	0
Leap Attack	143	bar	leap attack	41	78													leapattack																																																																											1		barbarian_leapattack_1													30	44						leapattack												1	6		none		mele										SQ	A1	xx	13		1		4												1													12	20					Leap							clc6		1	1					1	7	16	1	1													par7+lvl*2+skill('Leap'.blvl)*par8	Leap Speed %			((skill('Sword Mastery'.blvl)==20)+(skill('Increased Stamina'.blvl)==20)==2)?2:clc5		((skill('Sword Mastery'.blvl)==20)+(skill('Increased Stamina'.blvl)==20)==2)?3:5		max(0,((40-lvl)*100-(40-lvl)*stat('item_skill_cooldown'.accr))/100)						20	Damage % baseline	5	Damage % per level	4	Minimum Airborn Frames	10	to hit synergy	150	Leap Speed %	5	berserk synergy									1			50+lvl*10					8	128														mag																					256	2000	0
Concentrate	144	bar	concentrate	39	2										concentratenova									conversion		100+10*lvl		skill_armor_percent	ln34	damageresist	10+lvl*2/3	magicresist	skill('Berserk'.blvl)	curse_resistance	((skill('Concentrate'.blvl)+skill('Iron Skin'.blvl))>39)?100:1																																																												barbarian_grunt_small_1	1																		concentratenova													1	0		h2h		mele										A1	A1	A1				1		1	1								1		1			1					1					6	20					Stun									1	1					1	5	16	1												ln12+ skill('Stun'.blvl)*par8	damage%	100+10*lvl	buff duration									120	Damage % base	25	Damage % per level	20	% AC bonus	5	% AC bonus per level	5	to hit synergy	0	ac synergy			15	damage and ar synergy									1	15		lvl*15+skill('Bash'.blvl)*par8					8	128														mag																					256	2000	0
Iron Skin	145	bar	iron skin																																											ironskin			skill_armor_percent	(ln12+(skill('Axe Swarm'.blvl)+skill('Whirlwind'.blvl)+skill('Frenzy'.blvl))*par8)*(100+blvl*3)/100	damageresist	1+lvl/3*(100+blvl*3)/100	normal_damage_reduction	ln56*(100+blvl*3)/100																																																																									1	0		none												SC	SC	xx				1													1													18	20					Increased Speed									0	0					0	8	0	0	1								1															20	% AC bonus	5	% AC bonus per level	1	damage reduction	5	damage reduction per N levels	5	flat dr	1	flat dr per level			5	ac synergy									1								8																																				512	4000	0
Battle Cry	146	bar	battle cry												battlecry																																																																																barbarian_command_1																			battlecry													1	9		none												SC	SC	xx				1													1			1										30	20					Howl							clc6		1	1					1	8	10	1	1											1+skill('War Cry'.blvl)/10+skill('Elemental Mastery'.blvl)/10						max(1,6-lvl/10)		max(1,((stat('item_corrupted'.accr)>19)*stat('item_aegis_of_corruption'.accr)*100))		max(30,(150*100-150*stat('item_skill_cooldown'.accr))/100)																6	damage synergy									1								8															mag	4	4	6	7	9	11	5	5	7	8	10	12	((100+((100+(skill('Howl'.blvl)+skill('Taunt'.blvl)+skill('War Cry'.blvl))*par8)*(100+stat('passive_mag2_mastery'.accr))/100-100))*(100+clc5)/100)-100								512	4000	0
Frenzy	147	bar	frenzy		9										frenzy									frenzy		par7+skill('Increased Speed'.blvl)*25	15+lvl/3	velocitypercent	dm34	attackrate	dm56	item_deadlystrike	dm56	damagepercent	dm56*8	skillcontrol2	2+lvl/3+skill('Axe Swarm'.blvl)/5																																																												1																	frenzy													1	3		h2h		1hsw										A1	A1	xx				1		1	1								1		1			1			4							12	20					Axe Swarm									1	1					1	8	2	0												stat('skillcontrol2'.accr)	# missiles											100	Damage % base	20	Damage % per level / duration synergy	20	min % run speed increase	150	max % run speed increase	0	min % attack speed increase	60	max % attack speed increase	250	duration	15	damage and ar synergy									1	15		lvl*15+skill('Whirlwind'.blvl)*par8					8	96																																			256	2000	0
Increased Speed	148	bar	increased speed																																											increasedspeed			velocitypercent	(par1+lvl/par2)*(100+blvl*3)/100	vitality	ln34*(100+blvl*3)/100	hpregen	(5+stat('maxhp'.accr)/256000)*lvl*(100+blvl*3)/100																																																																									1	0		none												SC	SC	xx				1													1													12	20					Increased Stamina									0	0					0	8	0	0	1								1															10	speed	2	speed per N levels	10	vit bonus	2	vit per level							0	vit synergy									1								8																																				512	4000	0
Battle Orders	149	bar	battle orders		68													battleorders						battleorders	battleorders	(blvl<1)?(750+500*lvl):(3000+500*lvl)		item_maxmana_percent	ln34+(clc5+clc6)*par7	item_maxhp_percent	ln34+(clc5+clc6)*par7	skill_staminapercent	ln34+(clc5+clc6)*par7																																																														barbarian_battleorders_1														25						battleorders												1	9		none												SC	SC	A1				1													1			36	10									6	20					Shout			1						1	1					1	8	15	0	1	1																		skill('Sword Mastery'.blvl)+skill('Throwing Mastery'.blvl)+skill('Pole Arm Mastery'.blvl)+skill('SThunder Storm Bar'.blvl)		skill('Increased Stamina'.blvl)+skill('Find Item'.blvl)+skill('Increased Speed'.blvl)+skill('Iron Skin'.blvl)+skill('Natural Resistance'.blvl)+skill('Axe Mastery'.blvl)+skill('Mace Mastery'.blvl)+skill('SNova'.blvl)		750	duration	250	duration/level	35	Base % increase	3	Increase per level					1	hp/mana synergy	125	duration synergy									1								8																																				1023	20000	0
Stampede	150	bar	stampede		17													stampede	stampede	stampede																																																																																									23						stampede	stampede	stampede										1	6	1	rng		thro										TH	TH	xx				1													1													18	20					Phantom Hatchets									1	1					0	6	4	1	1											3+lvl/8+skill('Throwing Mastery'.blvl)/10																										15	ar synergy									1	15		lvl*15+skill('Berserk Fury'.blvl)*par8					8	51														mag																					256	2000	0
Whirlwind	151	bar	whirlwind	39	11													whirlwindaxe	whirlwindaxe	whirlwindaxe				whirlwind		50		passive_dodge	skill('Iron Skin'.blvl)/par7	passive_evade	skill('Iron Skin'.blvl)/par7	passive_avoid	skill('Iron Skin'.blvl)/par7	item_absorbmagic_percent	skill('Natural Resistance'.blvl)/par6																																																																										19						whirlwindaxe	whirlwindaxe	whirlwindaxe										1	3		h2h		1hsw										A1	A1	xx				1		1	1								1		1			1			4		1					30	20					Frenzy									1	1					1	7	10	1	1											1+lvl/15	# of missiles	50	buff duration																			4	magic absorb synergy	2	dodge synergy	15	ar synergy									1	15		lvl*15+skill('Frenzy'.blvl)*par8					8	64														stun																					256	2000	0
Berserk	152	bar	berserk	39	11													berserknova	berserknova	berserknova				berserk		max(50,75-lvl)		armor_override_percent	-100+skill('Iron Skin'.blvl)*5/2	maxfireresist	clc5-5	maxlightresist	clc5-5	maxcoldresist	clc5-5	maxpoisonresist	clc5-5	maxmagicresist	clc5-5																																																								barbarian_grunt_large_1	1													19						berserknova	berserknova	berserknova										1	4		h2h		mele										A1	A1	A1				1		1	1								1		1			1			4		1					24	20					Bash									1	1					1	6	4	1	1											1	# of missiles	max(50,75-lvl)	debuff duration			100	conversion	((skill('Berserk'.blvl)+skill('Increased Speed'.blvl))>39)*10								25	min vulnerable duration	75	max vulerable duration			3	def increase	15	to hit synergy	15	damage synergy									1	15		lvl*15+skill('Concentrate'.blvl)*par7					8	255														mag																					256	2000	0
Natural Resistance	153	bar	natural resistance																																											naturalresistance			fireresist	ln12*(100+blvl*3)/100	lightresist	ln12*(100+blvl*3)/100	coldresist	ln12*(100+blvl*3)/100	poisonresist	ln12*(100+blvl*3)/100	magicresist	ln12/4*(100+blvl*3)/100																																																																					1	0		none												SC	SC	xx				1													1													30	20					Iron Skin									0	0					0	8	0	0	1								1															20	min % resistance bonus	1	max % resistance bonus											1	resist synergy									1								8																																				512	8000	0
War Cry	154	bar	war cry	39	8										warcrynova			warcry	warcry					pierce				skill_pierce	100																																																																		barbarian_warcry_1										warcry				17					warcrynova	warcry	warcry			0	Missile Velocity Adder							1	9		none												SC	SC	xx				1													1			1										1	20														1	1					1	8	5	1	1											1		35				((skill('Elemental Mastery'.blvl)==20)+(skill('Battle Cry'.blvl)==20)==2)?2:clc5		((skill('Elemental Mastery'.blvl)==20)+(skill('Battle Cry'.blvl)==20)==1)?3:5				10	stun length	1												10	Damage synergy									1								6															mag	3	3	6	10	13	17	4	3	6	10	13	17	(100+(skill('Howl'.blvl)+skill('Taunt'.blvl)+skill('Battle Cry'.blvl))*par8)*(100+stat('passive_mag2_mastery'.accr))/100-100								512	4000	0
Battle Command	155	bar	battle command		68													battlecommand						battlecommand	battlecommand	(blvl<1)?(750+500*lvl):(3000+500*lvl)		item_allskills	1+lvl/10+(clc5+clc6)/20																																																																		barbarian_command_1														25						battlecommand				0	Missile Velocity Adder							1	9		none												SC	SC	A1				1													1			36	10									18	20					Battle Orders			1						1	1					1	8	20	0	1	1																		skill('War Cry'.blvl)+skill('Taunt'.blvl)+skill('Howl'.blvl)+skill('Battle Cry'.blvl)+skill('Shout'.blvl)+skill('Battle Orders'.blvl)+skill('Battle Command'.blvl)+skill('Leap'.blvl)+skill('Leap Attack'.blvl)		skill('Elemental Mastery'.blvl)+skill('Find Potion'.blvl)+skill('Find Rejuvenation'.blvl)		750	duration	250	duration/level									1	skill synergy	125	duration synergy									1								8																																				1023	50000	0
Fire Hit	156			42	83																																																																																																																										1	0		none												SQ	SQ	xx				1													1													1															0	0									1																							1	base damage	5	extra per level	50	duration	50	duration/level																	1	20	10						8																																						0
UnHolyBolt	157				85													unholybolt1																																																																																																unholybolt1													1	0		none												SQ	SQ	xx																	1													1															0	0									1																																															1								7															mag	3						4						(ulvl/(1+5/ulvl))*(1+ulvl/50)*50										0
SkeletonRaise	158																																																																																																																														1	0		none												SQ	SQ	xx								1	1		1						1													1															0	0									1																																															1								8																																						0
MaggotEgg	159			43	84																																																																																									sandmaggotegg_hatch_1															46																		1	0		none												SQ	SQ	xx																	1													1															0	0									1										 	"(lvl < 5) ? lvl : min(12,5+(lvl-5)/3)"	# to spawn																																			1								8																																						0
Fire Ball Mon	160														fireballmonster																																																																															sorceress_cast_fire											fire_cast_2									fireballmonster													1	5		none												SQ	SQ	A1																	1			1							sorceress_cast_fire			12	25														1	1					1	7	10	1	1																																					6	damage synergy									1								8															fire	1	10	10	10	10	10	4	10	10	10	10	10											0
MagottUp	161			44																																																																																										sandmaggot_emerge														32							dirt pile	sand pile											1	0		none												SQ	SQ	xx																	1													1															0	0									1																																															1								8																																						0
MagottDown	162			45	86																																																																																									sandmaggot_burrow														33	47																		1	0		none												SQ	SQ	xx																	1													1															0	0									1											10	heal%																																			1								8																																						0
